date,open,high,low,close,volume,adj_close
2026-01-01,150.0,152.0,148.0,151.0,1000000,151.0
2026-01-02,150.5,152.5,148.5,151.5,1010000,151.5
2026-01-03,151.0,153.0,149.0,152.0,1020000,152.0
2026-01-04,151.5,153.5,149.5,152.5,1030000,152.5
2026-01-05,152.0,154.0,150.0,153.0,1040000,153.0
2026-01-06,152.5,154.5,150.5,153.5,1050000,153.5
2026-01-07,153.0,155.0,151.0,154.0,1060000,154.0
2026-01-08,153.5,155.5,151.5,154.5,1070000,154.5
2026-01-09,154.0,156.0,152.0,155.0,1080000,155.0
2026-01-10,154.5,156.5,152.5,155.5,1090000,155.5
2026-01-11,155.0,157.0,153.0,156.0,1100000,156.0
2026-01-12,155.5,157.5,153.5,156.5,1110000,156.5
2026-01-13,156.0,158.0,154.0,157.0,1120000,157.0
2026-01-14,156.5,158.5,154.5,157.5,1130000,157.5
2026-01-15,157.0,159.0,155.0,158.0,1140000,158.0
2026-01-16,157.5,159.5,155.5,158.5,1150000,158.5
2026-01-17,158.0,160.0,156.0,159.0,1160000,159.0
2026-01-18,158.5,160.5,156.5,159.5,1170000,159.5
2026-01-19,159.0,161.0,157.0,160.0,1180000,160.0
2026-01-20,159.5,161.5,157.5,160.5,1190000,160.5
2026-01-21,160.0,162.0,158.0,161.0,1200000,161.0
2026-01-22,160.5,162.5,158.5,161.5,1210000,161.5
2026-01-23,161.0,163.0,159.0,162.0,1220000,162.0
2026-01-24,161.5,163.5,159.5,162.5,1230000,162.5
2026-01-25,162.0,164.0,160.0,163.0,1240000,163.0
2026-01-26,162.5,164.5,160.5,163.5,1250000,163.5
2026-01-27,163.0,165.0,161.0,164.0,1260000,164.0
2026-01-28,163.5,165.5,161.5,164.5,1270000,164.5
2026-01-29,164.0,166.0,162.0,165.0,1280000,165.0
2026-01-30,164.5,166.5,162.5,165.5,1290000,165.5
2026-01-31,165.0,167.0,163.0,166.0,1300000,166.0
2026-02-01,165.5,167.5,163.5,166.5,1310000,166.5
2026-02-02,166.0,168.0,164.0,167.0,1320000,167.0
2026-02-03,166.5,168.5,164.5,167.5,1330000,167.5
2026-02-04,167.0,169.0,165.0,168.0,1340000,168.0
2026-02-05,167.5,169.5,165.5,168.5,1350000,168.5
2026-02-06,168.0,170.0,166.0,169.0,1360000,169.0
2026-02-07,168.5,170.5,166.5,169.5,1370000,169.5
2026-02-08,169.0,171.0,167.0,170.0,1380000,170.0
2026-02-09,169.5,171.5,167.5,170.5,1390000,170.5
2026-02-10,170.0,172.0,168.0,171.0,1400000,171.0
2026-02-11,170.5,172.5,168.5,171.5,1410000,171.5
2026-02-12,171.0,173.0,169.0,172.0,1420000,172.0
2026-02-13,171.5,173.5,169.5,172.5,1430000,172.5
2026-02-14,172.0,174.0,170.0,173.0,1440000,173.0
2026-02-15,172.5,174.5,170.5,173.5,1450000,173.5
2026-02-16,173.0,175.0,171.0,174.0,1460000,174.0
2026-02-17,173.5,175.5,171.5,174.5,1470000,174.5
2026-02-18,174.0,176.0,172.0,175.0,1480000,175.0
2026-02-19,174.5,176.5,172.5,175.5,1490000,175.5
2026-02-20,175.0,177.0,173.0,176.0,1500000,176.0
2026-02-21,175.5,177.5,173.5,176.5,1510000,176.5
